Gene ID	HMMER	Hotpep	DIAMOND	#ofTools	genome_name
c_000000000001_15	GH1(6-480)	GH1(11)	GH1	3	CM06_79_S180
c_000000000001_296	GH1(7-480)	GH1(2)	GH1	3	CM06_79_S180
c_000000000001_424	GH38(3-254)	GH38(10)	GH38	3	CM06_79_S180
c_000000000001_426	GH1(3-454)	GH1(6)	GH1	3	CM06_79_S180
c_000000000001_62	GH38(5-268)	-	GH38	2	CM06_79_S180
c_000000000003_142	CE9(5-375)	CE9(43)	CE9	3	CM06_79_S180
c_000000000004_92	GT28(189-344)	GT28(25)	GT28	3	CM06_79_S180
c_000000000005_37	CBM66(377-542)+CBM66(565-729)+GH32(857-1167)+CBM66(1427-1583)	GH32(10)+CBM38(1)+CBM66(2)	CBM66+GH32	3	CM06_79_S180
c_000000000005_72	GH109(4-115)	-	-	1	CM06_79_S180
c_000000000006_5	GH1(5-485)	GH1(45)	GH1	3	CM06_79_S180
c_000000000006_66	GH109(52-167)	-	-	1	CM06_79_S180
c_000000000006_7	GH1(6-467)	GH1(66)	GH1	3	CM06_79_S180
c_000000000006_87	GH1(2-474)	GH1(1)	GH1	3	CM06_79_S180
c_000000000007_116	CE9(7-370)	CE9(4)	CE9	3	CM06_79_S180
c_000000000007_127	CE4(240-369)	CE4(67)	CE4	3	CM06_79_S180
c_000000000007_128	CE4(241-358)	CE4(67)	CE4	3	CM06_79_S180
c_000000000008_104	CE4(224-356)	-	-	1	CM06_79_S180
c_000000000008_140	GH25(6-181)	GH25(88)	GH25	3	CM06_79_S180
c_000000000008_82	GT11(1-329)	-	-	1	CM06_79_S180
c_000000000008_84	GT11(1-309)	GT11(22)	-	2	CM06_79_S180
c_000000000008_85	GT2_Glycos_transf_2(5-172)	GT2(225)	-	2	CM06_79_S180
c_000000000008_87	GT4(187-334)	-	-	1	CM06_79_S180
c_000000000008_89	GT4(234-379)	-	GT4	2	CM06_79_S180
c_000000000008_92	GT4(206-355)	-	GT4	2	CM06_79_S180
c_000000000009_117	CE4(91-224)	-	-	1	CM06_79_S180
c_000000000010_114	GH25(5-185)	-	GH25	2	CM06_79_S180
c_000000000010_75	GH1(4-459)	GH1(19)	GH1	3	CM06_79_S180
c_000000000012_52	GT14(3-237)	-	GT14	2	CM06_79_S180
c_000000000012_92	CE10(28-242)	-	-	1	CM06_79_S180
c_000000000013_32	GH31(221-674)	GH31(4)	GH31	3	CM06_79_S180
c_000000000013_52	GH1(3-471)	GH1(11)	GH1	3	CM06_79_S180
c_000000000013_58	GH73(288-402)	GH73(56)	GH73	3	CM06_79_S180
c_000000000014_99	GH1(5-481)	GH1(1)	GH1	3	CM06_79_S180
c_000000000015_1	GH25(113-303)	GH25(33)	GH25	3	CM06_79_S180
c_000000000015_34	CBM48(21-104)+GH13_9(172-459)	GH13(20)+CBM48(6)	CBM48+GH13_9	3	CM06_79_S180
c_000000000015_41	GT2_Glycos_transf_2(8-148)	GT2(115)+GT4(135)	GT2	3	CM06_79_S180
c_000000000015_42	GT2_Glycos_transf_2(8-173)	GT2(83)+GT4(135)+GT8(43)	GT2	3	CM06_79_S180
c_000000000015_48	GT2_Glycos_transf_2(4-142)	GT2(18)	GT2	3	CM06_79_S180
c_000000000015_63	GT35(96-799)	GT35(1)	GT35	3	CM06_79_S180
