ORF_ID	ORF	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description	genome_name
0000000016	1_16	PF13950.1	81.7	7.1e-24	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit	CM1_52_S208
0000000028	1_28	PF01636.18	52.2	1.9e-14	APH	-	PFAM	Phosphotransferase enzyme family	CM1_52_S208
0000000304	1_304	PF00903.20	47.8	3.5e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_52_S208
0000000383	1_383	K03699_483	530.6	5.1999999999999994e-160	tlyC	-	KEGG	putative hemolysin	CM1_52_S208
0000000527	1_527	TIGR01593	57.1	3.6e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM1_52_S208
0000000527	1_527	PF05105.7	72.7	5.3e-21	Phage_holin_4	-	PFAM	Holin family	CM1_52_S208
0000000530	1_530	PF07927.7	59.4	6.6e-17	YcfA	-	PFAM	YcfA-like protein	CM1_52_S208
0000000575	2_35	PF14057.1	637.7	7.7e-193	GGGtGRT	-	PFAM	GGGtGRT protein	CM1_52_S208
0000000669	2_129	PF07883.6	42.2	1.1e-11	Cupin_2	-	PFAM	Cupin domain	CM1_52_S208
0000000753	2_213	PF04221.7	59.5	5.6e-17	RelB	-	PFAM	RelB antitoxin	CM1_52_S208
0000000754	2_214	PF05016.9	46.9	7.3e-13	Plasmid_stabil	-	PFAM	Plasmid stabilisation system protein	CM1_52_S208
0000000760	2_220	TIGR01593	93.1	2.8e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM1_52_S208
0000000760	2_220	PF05105.7	143.7	4.9e-43	Phage_holin_4	-	PFAM	Holin family	CM1_52_S208
0000000801	2_261	K11060_3	51.9	1e-14	entB	-	KEGG	probable enterotoxin B	CM1_52_S208
0000000830	2_290	PF07927.7	60	4.1e-17	YcfA	-	PFAM	YcfA-like protein	CM1_52_S208
0000001113	3_124	PF00881.19	103.5	2.7000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM1_52_S208
0000001114	3_125	PF00903.20	47.7	3.9e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_52_S208
0000001261	3_272	PF00903.20	60.9	3.1e-17	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_52_S208
0000001309	3_320	PF03372.18	94.7	2.3e-27	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family	CM1_52_S208
0000001330	3_341	K11068_1278_95_625	201.4	2.5e-60	hlyIII	-	KEGG	hemolysin III	CM1_52_S208
0000001454	4_110	K11062_2	50.2	3e-14	entD	-	KEGG	probable enterotoxin D	CM1_52_S208
0000001678	4_334	PF00881.19	80.3	3.6e-23	Nitroreductase	-	PFAM	Nitroreductase family	CM1_52_S208
0000001875	5_142	PF05193.16	87	3.1999999999999997e-25	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM1_52_S208
0000001876	5_143	PF00675.15	63.8	3.8e-18	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)	CM1_52_S208
0000001876	5_143	PF05193.16	51.6	2.4e-14	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain	CM1_52_S208
0000001883	5_150	PF00881.19	108.6	7.299999999999999e-32	Nitroreductase	-	PFAM	Nitroreductase family	CM1_52_S208
0000001898	5_165	PF00717.18	58.8	8.3e-17	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_52_S208
0000001899	5_166	PF00717.18	54.8	1.4e-15	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_52_S208
0000001956	5_223	PF07883.6	45.6	1e-12	Cupin_2	-	PFAM	Cupin domain	CM1_52_S208
0000002094	6_18	PF04734.8	40.4	2.5e-11	Ceramidase_alk	-	PFAM	Neutral/alkaline non-lysosomal ceramidase	CM1_52_S208
0000002181	6_105	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	CM1_52_S208
0000002182	6_106	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	CM1_52_S208
0000002182	6_106	K11063_6	83.8	8.7e-25	tcdAB	-	KEGG	toxin A\/B	CM1_52_S208
0000002324	6_248	PF13958.1	120.8	1.1999999999999999e-35	ToxN_toxin	-	PFAM	Toxin ToxN, type III toxin-antitoxin system	CM1_52_S208
0000002495	7_117	PF00881.19	103.9	2.1000000000000002e-30	Nitroreductase	-	PFAM	Nitroreductase family	CM1_52_S208
0000002776	8_113	PF10502.4	47.2	4e-13	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26	CM1_52_S208
0000002776	8_113	PF00717.18	55.6	8.1e-16	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_52_S208
0000002786	8_123	PF04734.8	52.8	4.2e-15	Ceramidase_alk	-	PFAM	Neutral/alkaline non-lysosomal ceramidase	CM1_52_S208
0000003040	9_143	PF00881.19	84.8	1.4999999999999998e-24	Nitroreductase	-	PFAM	Nitroreductase family	CM1_52_S208
0000003325	12_31	PF07883.6	48.8	1e-13	Cupin_2	-	PFAM	Cupin domain	CM1_52_S208
0000003414	12_120	TIGR01593	57.1	3.6e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	CM1_52_S208
0000003414	12_120	PF05105.7	72.7	5.3e-21	Phage_holin_4	-	PFAM	Holin family	CM1_52_S208
0000003458	13_33	PF01636.18	73.5	5.8e-21	APH	-	PFAM	Phosphotransferase enzyme family	CM1_52_S208
0000003466	13_41	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	CM1_52_S208
0000003474	13_49	PF00881.19	114	1.7e-33	Nitroreductase	-	PFAM	Nitroreductase family	CM1_52_S208
0000003505	13_80	PF00903.20	46.8	7.3e-13	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	CM1_52_S208
0000003770	17_9	PF00717.18	49.4	7e-14	Peptidase_S24	-	PFAM	Peptidase S24-like	CM1_52_S208
0000003778	17_17	K10816_8	68	1.3e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	CM1_52_S208
0000003779	17_18	K10815_8	54.2	1.7e-15	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]	CM1_52_S208
0000003977	20_35	K11063_6	101	5.4000000000000005e-30	tcdAB	-	KEGG	toxin A\/B	CM1_52_S208
