Contig	Contig_ID	ORF	ORF_ID	ARG	ARG_SNPs	AMR_category	AMR_sub_class	Resistance_mechanism	Database	MGE_prediction	genome_name	newgenome_name
c_000000000001	0000000001	1_352	0000000352	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52
c_000000000001	0000000001	1_352	0000000352	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52
c_000000000002	0000000002	2_169	0000000709	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52
c_000000000002	0000000002	2_28	0000000568	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52
c_000000000002	0000000002	2_322	0000000862	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52
c_000000000019	0000000019	19_40	0000003933	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	CM1_52_S208	CM1_52
c_000000000001	0000000001	1_169	0000000169	VANU	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53
c_000000000001	0000000001	1_28	0000000028	EFRA	n/a	multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic	antibiotic efflux	DeepARG	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53
c_000000000001	0000000001	1_322	0000000322	VANR	n/a	glycopeptide	glycopeptide antibiotic	-	DeepARG	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53
c_000000000004	0000000004	4_189	0000001369	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53
c_000000000017	0000000017	17_40	0000003721	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	n/a	MLS	lincosamide antibiotic	antibiotic target alteration	DeepARG	chromosome	CM1_53_S216	CM1_53
c_000000000001	0000000001	1_189	0000000189	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89
c_000000000001	0000000001	1_189	0000000189	VANRI	n/a	glycopeptide	glycopeptide antibiotic	antibiotic target alteration	DeepARG	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89
